player,team,games_played,at_bat,runs,hits,doubles,triples,home_runs,runs_batted_in,walks,strike_outs,stolen_bases,caught_stealing,batting_avg,on_base_percentage,slugging,ops
35,COL,27,88,11,29,6,0,3,13,7,19,0,0,0.33,0.385,0.5,0.885
EliasDiaz,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,
36,BOS,26,96,17,28,5,0,5,19,13,11,2,0,0.292,0.384,0.5,0.884
MasatakaYoshida,,,,,,,,,,,,,,,,,
LF,,,,,,,,,,,,,,,,,
37,NYM,31,119,23,30,3,0,11,28,12,31,0,0,0.252,0.326,0.555,0.881
PeteAlonso,,,,,,,,,,,,,,,,,
1B,,,,,,,,,,,,,,,,,
38,TEX,28,109,20,30,5,0,8,24,7,38,1,0,0.275,0.325,0.541,0.866
JoshJung,,,,,,,,,,,,,,,,,
3B,,,,,,,,,,,,,,,,,
39,NYY,26,92,18,24,5,0,6,14,14,35,2,1,0.261,0.352,0.511,0.863
AaronJudge,,,,,,,,,,,,,,,,,
CF,,,,,,,,,,,,,,,,,
40,PHI,32,123,24,38,11,0,4,20,11,36,0,1,0.309,0.366,0.496,0.862
NickCastellanos,,,,,,,,,,,,,,,,,
RF,,,,,,,,,,,,,,,,,
41,SD,31,117,22,34,4,0,6,13,15,20,1,0,0.291,0.378,0.479,0.857
XanderBogaerts,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,
42,SF,25,96,16,28,7,0,5,14,5,24,0,2,0.292,0.333,0.521,0.854
MikeYastrzemski,,,,,,,,,,,,,,,,,
CF,,,,,,,,,,,,,,,,,
43,ATL,31,119,14,32,6,1,8,25,7,19,0,0,0.269,0.313,0.538,0.851
OzzieAlbies,,,,,,,,,,,,,,,,,
2B,,,,,,,,,,,,,,,,,
43,LAD,30,115,20,31,9,0,5,18,18,27,1,1,0.27,0.373,0.478,0.851
MookieBetts,,,,,,,,,,,,,,,,,
RF,,,,,,,,,,,,,,,,,
45,BAL,27,99,17,29,7,1,4,11,8,29,1,0,0.293,0.343,0.505,0.848
AustinHays,,,,,,,,,,,,,,,,,
LF,,,,,,,,,,,,,,,,,
