player,team,games_played,at_bat,runs,hits,doubles,triples,home_runs,runs_batted_in,walks,strike_outs,stolen_bases,caught_stealing,batting_avg,on_base_percentage,slugging,ops
EsteuryRuiz,,,,,,,,,,,,,,,,,
CF,,,,,,,,,,,,,,,,,
149,MIN,29,111,11,26,3,0,3,12,9,17,0,0,0.234,0.298,0.342,0.64
JoseMiranda,,,,,,,,,,,,,,,,,
3B,,,,,,,,,,,,,,,,,
150,WSH,25,90,10,21,3,1,2,14,7,8,1,1,0.233,0.283,0.356,0.639
LuisGarcia,,,,,,,,,,,,,,,,,
2B,,,,,,,,,,,,,,,,,
151,COL,26,100,10,22,3,0,3,10,12,25,0,0,0.22,0.298,0.34,0.638
JuricksonProfar,,,,,,,,,,,,,,,,,
LF,,,,,,,,,,,,,,,,,
151,LAA,27,102,13,29,2,0,1,12,3,19,1,1,0.284,0.305,0.333,0.638
GioUrshela,,,,,,,,,,,,,,,,,
1B,,,,,,,,,,,,,,,,,
153,SEA,29,111,10,26,4,0,2,15,10,38,0,1,0.234,0.312,0.324,0.636
EugenioSuarez,,,,,,,,,,,,,,,,,
3B,,,,,,,,,,,,,,,,,
154,PIT,30,117,19,26,8,2,1,9,10,16,3,3,0.222,0.281,0.35,0.631
Ke'BryanHayes,,,,,,,,,,,,,,,,,
3B,,,,,,,,,,,,,,,,,
155,DET,29,115,15,28,0,2,2,8,9,39,2,0,0.243,0.298,0.33,0.628
RileyGreene,,,,,,,,,,,,,,,,,
CF,,,,,,,,,,,,,,,,,
156,WSH,27,104,11,26,2,0,1,5,10,19,0,0,0.25,0.322,0.298,0.62
DominicSmith,,,,,,,,,,,,,,,,,
1B,,,,,,,,,,,,,,,,,
157,CLE,30,99,12,25,3,0,0,7,11,21,8,1,0.253,0.333,0.283,0.616
MylesStraw,,,,,,,,,,,,,,,,,
CF,,,,,,,,,,,,,,,,,
158,DET,27,97,12,23,5,0,1,12,6,20,2,0,0.237,0.292,0.32,0.612
JavierBaez,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,
158,DET,28,86,10,14,4,0,4,14,12,27,0,0,0.163,0.263,0.349,0.612
NickMaton,,,,,,,,,,,,,,,,,
3B,,,,,,,,,,,,,,,,,
160,NYM,27,97,11,22,4,0,1,8,10,19,9,3,0.227,0.312,0.299,0.611
StarlingMarte,,,,,,,,,,,,,,,,,
RF,,,,,,,,,,,,,,,,,
161,CLE,28,95,5,20,3,0,3,18,9,20,2,0,0.211,0.271,0.337,0.608
JoshNaylor,,,,,,,,,,,,,,,,,
1B,,,,,,,,,,,,,,,,,
162,COL,27,92,11,20,6,1,1,9,5,31,0,0,0.217,0.265,0.337,0.602
EzequielTovar,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,
163,KC,27,98,10,17,5,1,3,12,11,38,0,0,0.173,0.261,0.337,0.598
MJMelendez,,,,,,,,,,,,,,,,,
RF,,,,,,,,,,,,,,,,,
164,STL,30,116,11,27,3,0,2,14,9,27,1,1,0.233,0.286,0.31,0.596
NolanArenado,,,,,,,,,,,,,,,,,
3B,,,,,,,,,,,,,,,,,
165,CLE,26,108,15,24,3,2,1,6,6,31,5,0,0.222,0.259,0.315,0.574
AmedRosario,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,
166,DET,28,104,9,21,5,0,2,12,8,25,1,0,0.202,0.259,0.308,0.567
SpencerTorkelson,,,,,,,,,,,,,,,,,
1B,,,,,,,,,,,,,,,,,
166,SF,27,83,10,12,3,0,4,11,8,32,1,1,0.145,0.242,0.325,0.567
DavidVillar,,,,,,,,,,,,,,,,,
2B,,,,,,,,,,,,,,,,,
168,TOR,30,118,14,25,1,0,3,10,8,23,5,1,0.212,0.268,0.297,0.565
GeorgeSpringer,,,,,,,,,,,,,,,,,
RF,,,,,,,,,,,,,,,,,
169,AZ,29,91,13,16,4,1,2,8,8,23,3,1,0.176,0.248,0.308,0.556
AlekThomas,,,,,,,,,,,,,,,,,
CF,,,,,,,,,,,,,,,,,
170,HOU,31,125,7,29,4,0,0,13,5,27,0,0,0.232,0.267,0.264,0.531
JoseAbreu,,,,,,,,,,,,,,,,,
1B,,,,,,,,,,,,,,,,,
171,CWS,31,106,9,21,4,0,0,9,8,21,4,1,0.198,0.271,0.236,0.507
ElvisAndrus,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,
172,OAK,25,88,8,15,2,0,1,7,12,13,2,1,0.17,0.267,0.227,0.494
TonyKemp,,,,,,,,,,,,,,,,,
2B,,,,,,,,,,,,,,,,,
173,MIA,28,95,9,19,3,0,0,3,5,17,2,1,0.2,0.24,0.232,0.472
JeanSegura,,,,,,,,,,,,,,,,,
3B,,,,,,,,,,,,,,,,,
174,OAK,25,85,7,13,2,0,1,6,6,20,1,0,0.153,0.226,0.212,0.438
AledmysDiaz,,,,,,,,,,,,,,,,,
3B,,,,,,,,,,,,,,,,,
