player,team,w,l,era,g,gc,cg,sho,sv,svo,ip,h,r,er,hr,hb,bb,so,whip,avg
32,TOR,5,0,3.35,7,7,0,0,0,0,37.2,37,14,14,8,1,8,33,1.19,0.257
YuseiKikuchi,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
33,LAA,3,1,3.41,7,7,0,0,0,0,37,31,17,14,3,1,15,26,1.24,0.217
PatrickSandoval,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
34,HOU,2,1,3.54,7,7,0,0,0,0,40.2,34,17,16,5,1,9,43,1.06,0.222
CristianJavier,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
35,COL,3,4,3.57,8,8,0,0,0,0,45.1,41,20,18,8,0,11,30,1.15,0.247
KyleFreeland,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
36,WSH,3,2,3.65,7,7,0,0,0,0,37,34,15,15,4,0,19,48,1.43,0.246
MacKenzieGore,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
37,MIA,2,2,3.66,7,7,0,0,0,0,39.1,41,17,16,5,1,14,43,1.4,0.27
JesusLuzardo,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
38,CWS,1,2,3.67,7,7,0,0,0,0,41.2,37,18,17,5,4,9,41,1.1,0.23
LucasGiolito,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
39,MIN,2,2,3.77,7,7,0,0,0,0,43,37,18,18,4,4,10,54,1.09,0.231
PabloLopez,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
40,LAD,4,3,3.77,8,8,0,0,0,0,45.1,44,20,19,8,1,9,48,1.17,0.256
JulioUrias,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
41,SEA,1,2,3.79,7,7,0,0,0,0,40.1,32,17,17,4,0,8,50,0.99,0.216
LoganGilbert,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
42,SF,2,5,3.8,7,7,0,0,0,0,45,43,22,19,8,1,7,48,1.11,0.253
LoganWebb,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
43,CIN,2,1,3.82,7,7,0,0,0,0,37.2,32,16,16,2,1,18,30,1.33,0.229
GrahamAshcraft,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
43,TEX,2,1,3.82,7,7,0,0,0,0,37.2,33,17,16,7,3,14,27,1.25,0.244
JonGray,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
45,MIL,3,2,3.86,7,7,0,0,0,0,39.2,31,21,17,4,3,14,32,1.13,0.218
CorbinBurnes,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
45,TOR,2,3,3.86,7,7,0,0,0,0,42,43,22,18,5,0,7,58,1.19,0.257
KevinGausman,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
45,TEX,4,1,3.86,7,7,0,0,0,0,37.1,46,18,16,5,0,12,28,1.55,0.307
MartinPerez,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
48,CLE,2,2,3.89,7,7,0,0,0,0,39.1,40,18,17,4,1,12,21,1.32,0.255
CalQuantrill,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
49,WSH,1,1,4.25,7,7,0,0,0,0,36,39,18,17,6,1,9,26,1.33,0.277
TrevorWilliams,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
50,PHI,3,2,4.26,7,7,0,0,0,0,38,36,20,18,1,4,11,46,1.24,0.245
ZackWheeler,,,,,,,,,,,,,,,,,,,,
